3550	5.7299999999999995	0.66
3560	5.74	0.66
3570	5.71	0.66
3580	5.65	0.66
3590	5.720000000000001	0.66
3600	5.8100000000000005	0.66
3610	5.76	0.66
3620	5.62	0.66
3630	5.54	0.66
3640	5.54	0.66
3650	5.46	0.66
3660	5.470000000000001	0.66
3670	5.37	0.66
3680	5.5200000000000005	0.66
3690	5.62	0.66
3700	5.46	0.66
3710	5.5	0.66
3720	5.62	0.66
3730	5.63	0.66
3740	5.6899999999999995	0.66
3750	5.62	0.66
3760	5.7299999999999995	0.66
3770	5.779999999999999	0.66
3780	5.71	0.66
3790	5.6899999999999995	0.66
3800	5.68	0.66
3810	5.61	0.66
3820	5.62	0.66
3830	5.68	0.66
3840	5.7700000000000005	0.66
3850	5.7700000000000005	0.66
3860	5.54	0.66
3870	5.6899999999999995	0.66
3880	5.5200000000000005	0.66
3890	5.68	0.66
3900	5.779999999999999	0.66
3910	5.76	0.66
3920	5.6899999999999995	0.66
3930	5.7	0.66
3940	5.71	0.66
3950	5.79	0.66
3960	5.970000000000001	0.66
3970	5.89	0.66
3980	5.720000000000001	0.66
3990	5.83	0.66
4000	5.71	0.66
4010	5.75	0.66
4020	5.66	0.66
4030	5.61	0.66
4040	5.5600000000000005	0.66
4050	5.59	0.66
4060	5.529999999999999	0.66
4070	5.529999999999999	0.66
4080	5.45	0.66
4090	5.470000000000001	0.66
4100	5.5	0.66
4110	5.470000000000001	0.66
4120	5.46	0.66
4130	5.43	0.66
4140	5.5200000000000005	0.66
4150	5.55	0.66
4160	5.55	0.66
4170	5.66	0.66
4180	5.7700000000000005	0.66
4190	5.6899999999999995	0.66
4200	5.67	0.66
4210	5.529999999999999	0.66
4220	5.66	0.66
4230	5.6	0.66
4240	5.46	0.66
4250	5.4399999999999995	0.66
4260	5.470000000000001	0.66
4270	5.4799999999999995	0.66
4280	5.45	0.66
4290	5.45	0.66
4300	5.49	0.66
4310	5.5200000000000005	0.66
4320	5.51	0.66
4330	5.54	0.66
4340	5.4799999999999995	0.66
4350	5.5	0.66
4360	5.7700000000000005	0.66
4370	5.79	0.66
4380	5.779999999999999	0.66
4390	5.65	0.66
4400	5.76	0.66
4410	5.720000000000001	0.66
4420	5.7700000000000005	0.66
4430	5.79	0.66
4440	5.6899999999999995	0.66
4450	5.66	0.66
4460	5.8	0.66
4470	5.86	0.66
4480	5.779999999999999	0.66
4490	5.71	0.66
4500	5.83	0.66
4510	5.779999999999999	0.66
4520	5.76	0.66
4530	5.6	0.66
4540	5.5600000000000005	0.66
4550	5.55	0.66
4560	5.7299999999999995	0.66
4570	5.79	0.66
4580	5.79	0.66
4590	5.8	0.66
4600	5.82	0.66
4610	5.86	0.66
4620	5.95	0.66
4630	5.91	0.66
4640	5.8100000000000005	0.66
4650	5.74	0.66
4660	5.779999999999999	0.66
4670	5.92	0.66
4680	5.92	0.66
4690	5.83	0.66
4700	6.11	0.66
4710	6.2	0.66
4720	6.07	0.66
4730	6.1	0.66
4740	6.07	0.66
4750	6.04	0.66
4760	6.0600000000000005	0.66
4770	6.05	0.66
4780	6.029999999999999	0.66
4790	6.08	0.66
4800	6.18	0.66
4810	6.08	0.66
4820	6.01	0.66
4830	6.15	0.66
4840	6.2	0.66
4850	6.11	0.66
4860	6.029999999999999	0.66
4870	6.15	0.66
4880	6.04	0.66
4890	5.85	0.66
4900	5.88	0.66
4910	5.9799999999999995	0.66
4920	5.8100000000000005	0.66
4930	5.84	0.66
4940	5.970000000000001	0.66
4950	5.83	0.66
4960	5.91	0.66
4970	5.9	0.66
4980	5.89	0.66
4990	5.9399999999999995	0.66
5000	5.82	0.66
5010	5.88	0.66
5020	5.92	0.66
5030	5.8	0.66
5040	5.92	0.66
5050	5.8	0.66
5060	5.8	0.66
5070	5.7299999999999995	0.66
5080	5.720000000000001	0.66
5090	5.83	0.66
5100	5.88	0.66
5110	6.04	0.66
5120	6.0	0.66
5130	5.84	0.66
5140	5.9399999999999995	0.66
5150	6.05	0.66
5160	5.99	0.66
5170	6.029999999999999	0.66
5180	5.99	0.66
5190	5.9799999999999995	0.66
5200	5.87	0.66
5210	5.8100000000000005	0.66
5220	5.86	0.66
5230	5.9	0.66
5240	5.86	0.66
5250	5.96	0.66
5260	6.11	0.66
5270	6.1	0.66
5280	6.1	0.66
5290	6.0200000000000005	0.66
5300	5.92	0.66
5310	5.95	0.66
5320	5.79	0.66
5330	5.779999999999999	0.66
5340	5.7299999999999995	0.66
5350	5.64	0.66
5360	5.83	0.66
5370	5.8	0.66
5380	5.9	0.66
5390	5.9	0.66
5400	5.93	0.66
5410	5.85	0.66
5420	5.8	0.66
5430	5.87	0.66
5440	5.529999999999999	0.66
5450	5.65	0.66
5460	5.68	0.66
5470	5.59	0.66
5480	5.37	0.66
5490	5.35	0.66
5500	5.25	0.66
5510	4.92	0.66
5520	5.029999999999999	0.66
5530	5.2299999999999995	0.66
5540	5.36	0.66
5550	5.35	0.66
5560	5.4399999999999995	0.66
5570	5.59	0.66
5580	5.5200000000000005	0.66
5590	5.4799999999999995	0.66
5600	5.54	0.66
5610	5.63	0.66
5620	5.7	0.66
5630	5.62	0.66
5640	5.74	0.66
5650	5.8	0.66
5660	5.76	0.66
5670	5.7700000000000005	0.66
5680	5.86	0.66
5690	5.66	0.66
5700	5.6	0.66
5710	5.64	0.66
5720	5.51	0.66
5730	5.68	0.66
5740	5.63	0.66
5750	5.67	0.66
5760	5.7	0.66
5770	5.63	0.66
5780	5.51	0.66
5790	5.62	0.66
5800	5.6899999999999995	0.66
5810	5.54	0.66
5820	5.4799999999999995	0.66
5830	5.5200000000000005	0.66
5840	5.5600000000000005	0.66
5850	5.45	0.66
5860	5.6	0.66
5870	5.7	0.66
5880	5.74	0.66
5890	5.8	0.66
5900	5.74	0.66
5910	5.6	0.66
5920	5.6899999999999995	0.66
5930	5.7	0.66
5940	5.75	0.66
5950	5.720000000000001	0.66
5960	5.82	0.66
5970	5.75	0.66
5980	5.68	0.66
5990	5.7700000000000005	0.66
6000	5.82	0.66
6010	5.93	0.66
6020	6.0200000000000005	0.66
6030	5.7700000000000005	0.66
6040	5.93	0.66
6050	5.970000000000001	0.66
6060	6.0	0.66
6070	6.09	0.66
6080	5.95	0.66
6090	5.970000000000001	0.66
6100	5.89	0.66
6110	5.96	0.66
6120	6.029999999999999	0.66
6130	5.89	0.66
6140	5.83	0.66
6150	5.82	0.66
6160	5.87	0.66
6170	5.95	0.66
6180	5.9	0.66
6190	5.9	0.66
6200	5.75	0.66
6210	5.6899999999999995	0.66
6220	5.67	0.66
6230	5.61	0.66
6240	5.66	0.66
6250	5.79	0.66
6260	5.91	0.66
6270	5.86	0.66
6280	5.970000000000001	0.66
6290	5.9399999999999995	0.66
6300	5.93	0.66
6310	5.82	0.66
6320	5.82	0.66
6330	5.79	0.66
6340	5.779999999999999	0.66
6350	5.99	0.66
6360	5.99	0.66
6370	5.970000000000001	0.66
6380	5.71	0.66
6390	5.84	0.66
6400	5.62	0.66
6410	5.6899999999999995	0.66
6420	5.68	0.66
6430	5.7299999999999995	0.66
6440	5.74	0.66
6450	5.95	0.66
6460	5.84	0.66
6470	5.85	0.66
6480	5.75	0.66
6490	5.7	0.66
6500	5.779999999999999	0.66
6510	5.8	0.66
6520	5.8	0.66
6530	5.7700000000000005	0.66
6540	5.85	0.66
6550	5.779999999999999	0.66
6560	5.74	0.66
6570	5.76	0.66
6580	5.68	0.66
6590	5.8100000000000005	0.66
6600	5.74	0.66
6610	5.74	0.66
6620	5.75	0.66
6630	5.59	0.66
6640	5.63	0.66
6650	5.75	0.66
6660	5.6899999999999995	0.66
6670	5.75	0.66
6680	5.71	0.66
6690	5.720000000000001	0.66
6700	5.62	0.66
6710	5.62	0.66
6720	5.5200000000000005	0.66
6730	5.4799999999999995	0.66
6740	5.62	0.66
6750	5.6	0.66
6760	5.64	0.66
6770	5.7	0.66
6780	5.7299999999999995	0.66
6790	5.71	0.66
6800	5.86	0.66
6810	5.970000000000001	0.66
6820	5.6899999999999995	0.66
6830	5.7	0.66
6840	5.67	0.66
6850	5.64	0.66
6860	5.61	0.66
6870	5.5	0.66
6880	5.64	0.66
6890	5.64	0.66
6900	5.720000000000001	0.66
6910	5.68	0.66
6920	5.75	0.66
6930	5.85	0.66
6940	5.87	0.66
6950	5.9	0.66
6960	5.85	0.66
6970	5.7700000000000005	0.66
6980	5.65	0.66
6990	5.68	0.66
7000	5.61	0.66
7010	5.5	0.66
7020	5.35	0.66
7030	5.34	0.66
7040	5.5600000000000005	0.66
7050	5.66	0.66
7060	5.63	0.66
7070	5.59	0.66
7080	5.49	0.66
7090	5.57	0.66
7100	5.5	0.66
7110	5.5200000000000005	0.66
7120	5.470000000000001	0.66
7130	5.58	0.66
7140	5.59	0.66
7150	5.62	0.66
7160	5.6	0.66
7170	5.57	0.66
